[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
Fennel-6cad02114be9c4eace7027bee916b700a362d3c9-1a76f08a21b487328f03d3eafd01b1201da67e81 1 nonest conflicting
Fennel-6cad02114be9c4eace7027bee916b700a362d3c9-1a76f08a21b487328f03d3eafd01b1201da67e81 1 patience conflicting
Fennel-801a4dfaaca6eed6bf956d8133e93379349988d2-958524667e6a31c6d46db4b4a77e2757e417072f 1 proper conflicting
Fennel-801a4dfaaca6eed6bf956d8133e93379349988d2-958524667e6a31c6d46db4b4a77e2757e417072f 1 nonest conflicting
Fennel-801a4dfaaca6eed6bf956d8133e93379349988d2-958524667e6a31c6d46db4b4a77e2757e417072f 1 patience conflicting
Fennel-c865ecfa7356d193bdf51471c49a1614b13ba6f6-f4b6174fa86f949851952acfb82c5bd96c7cb3b4 1 proper conflicting
Fennel-c865ecfa7356d193bdf51471c49a1614b13ba6f6-f4b6174fa86f949851952acfb82c5bd96c7cb3b4 1 nonest conflicting
Fennel-c865ecfa7356d193bdf51471c49a1614b13ba6f6-f4b6174fa86f949851952acfb82c5bd96c7cb3b4 1 patience conflicting
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-2eeeb07ff028b91eff3b514e8fc2d1db56e850f2 1 proper conflicting
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-2eeeb07ff028b91eff3b514e8fc2d1db56e850f2 1 nonest success
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-2eeeb07ff028b91eff3b514e8fc2d1db56e850f2 1 patience success
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-9a8cd92e64b48e4878310a12469abfb604c95617 1 proper conflicting
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-9a8cd92e64b48e4878310a12469abfb604c95617 1 nonest conflicting
Fennel-e60a5dc721666d7ab15f28f7ec2d9d00ffb5a81a-9a8cd92e64b48e4878310a12469abfb604c95617 1 patience conflicting
Fennel-f02e1cd35b21ac75d738ebd940bf5b1a940d86d8-7ada3ecc6994c5dcfd3a97f6c5fca11bf475a22e 1 proper unknown(124)
Fennel-f02e1cd35b21ac75d738ebd940bf5b1a940d86d8-7ada3ecc6994c5dcfd3a97f6c5fca11bf475a22e 1 nonest conflicting
Fennel-f02e1cd35b21ac75d738ebd940bf5b1a940d86d8-7ada3ecc6994c5dcfd3a97f6c5fca11bf475a22e 1 patience conflicting
Fennel-f87df5feb8cc7e0d5d38b27e1ae6a8f069b61e8c-ecd6ce2bb31ae03ff4a7892715b7cbec54a1f811 1 proper conflicting
Fennel-f87df5feb8cc7e0d5d38b27e1ae6a8f069b61e8c-ecd6ce2bb31ae03ff4a7892715b7cbec54a1f811 1 nonest conflicting
Fennel-f87df5feb8cc7e0d5d38b27e1ae6a8f069b61e8c-ecd6ce2bb31ae03ff4a7892715b7cbec54a1f811 1 patience conflicting
json.lua-fd58f2987693a8cc3ece430fa454355d5aa5e57a-a3d7530a6a64f896589ae8e7fec5d25078f79a7a 1 proper conflicting
json.lua-fd58f2987693a8cc3ece430fa454355d5aa5e57a-a3d7530a6a64f896589ae8e7fec5d25078f79a7a 1 nonest success
json.lua-fd58f2987693a8cc3ece430fa454355d5aa5e57a-a3d7530a6a64f896589ae8e7fec5d25078f79a7a 1 patience success
kong-07b725eca9944a30634743f88d78cbe69cd60e30-2fbd0b660dc2bf0e920c0c9ed78e4dd8944dcbf6 1 proper conflicting
kong-07b725eca9944a30634743f88d78cbe69cd60e30-2fbd0b660dc2bf0e920c0c9ed78e4dd8944dcbf6 1 nonest conflicting
kong-07b725eca9944a30634743f88d78cbe69cd60e30-2fbd0b660dc2bf0e920c0c9ed78e4dd8944dcbf6 1 patience conflicting
kong-07b725eca9944a30634743f88d78cbe69cd60e30-eb0342632bfa876ef7360be237704857cee086c4 1 proper parse-error
kong-07b725eca9944a30634743f88d78cbe69cd60e30-eb0342632bfa876ef7360be237704857cee086c4 1 nonest parse-error
kong-07b725eca9944a30634743f88d78cbe69cd60e30-eb0342632bfa876ef7360be237704857cee086c4 1 patience parse-error
kong-175729835ef374ae06887ed2d75f21ac067a7c91-5c57a10dcbf2cd53ab74e2c96b7cc38e16683aa1 1 proper conflicting
kong-175729835ef374ae06887ed2d75f21ac067a7c91-5c57a10dcbf2cd53ab74e2c96b7cc38e16683aa1 1 nonest conflicting
kong-175729835ef374ae06887ed2d75f21ac067a7c91-5c57a10dcbf2cd53ab74e2c96b7cc38e16683aa1 1 patience conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9a40eae43d06b7ef622226a142bc42f27423587f 1 proper conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9a40eae43d06b7ef622226a142bc42f27423587f 1 nonest conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9a40eae43d06b7ef622226a142bc42f27423587f 1 patience conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9b0b58fb809fe37eae0740725d6d7b607c293d79 1 proper conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9b0b58fb809fe37eae0740725d6d7b607c293d79 1 nonest conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-9b0b58fb809fe37eae0740725d6d7b607c293d79 1 patience conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-ab2671909511067886a25d1e8d12cbaa8eef1aba 1 proper conflicting
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-ab2671909511067886a25d1e8d12cbaa8eef1aba 1 nonest success
kong-17bf145b974f408ea4d14941db2469130fb1dbb9-ab2671909511067886a25d1e8d12cbaa8eef1aba 1 patience success
kong-18bc349b65309d6b9defc40aa9a4631fae837d4e-f553e5f47d8963cde84bb7ff1f2380c2da914028 1 proper conflicting
kong-18bc349b65309d6b9defc40aa9a4631fae837d4e-f553e5f47d8963cde84bb7ff1f2380c2da914028 1 nonest success
kong-18bc349b65309d6b9defc40aa9a4631fae837d4e-f553e5f47d8963cde84bb7ff1f2380c2da914028 1 patience success
kong-1a5746ae102f843b087801d4a5a1ca01ff625f03-dfc04faea7b7e81274a05c311e62dae14920c42f 1 proper conflicting
kong-1a5746ae102f843b087801d4a5a1ca01ff625f03-dfc04faea7b7e81274a05c311e62dae14920c42f 1 nonest conflicting
kong-1a5746ae102f843b087801d4a5a1ca01ff625f03-dfc04faea7b7e81274a05c311e62dae14920c42f 1 patience conflicting
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-70045da4a8d20ca85570e5a4c04646f98927ce38 1 proper conflicting
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-70045da4a8d20ca85570e5a4c04646f98927ce38 1 nonest conflicting
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-70045da4a8d20ca85570e5a4c04646f98927ce38 1 patience conflicting
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-d952b51e6c95e00382869fa0395c1b7760bab280 1 proper conflicting
kong-28d6cf2ffcf2bebe8779a20838ec21ed78afeeda-d952b51e6c95e00382869fa0395c1b7760bab280 1 nonest conflicting
